tweet,username,date,hashtags,likes,retweets,url
"Another ""coincidence"" or ""incidental"" death from the vaccine? #SeriousQuestion https://t.co/RLUX0RFSIY",normsaid,Mon Feb 22 17:46:00 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907910602956800
The Do’s and Don’ts on Social Media for Vaccine Haves and Have-Nots - #GAYNRD https://t.co/f3RFXUqISW,NrdGay,Mon Feb 22 17:46:00 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907910569451524
@ya_taiem The reason behind taking the vaccine is for the body to produce antibodies against the virus because you… https://t.co/DID6cxZCJo,11Shortyjd,Mon Feb 22 17:46:00 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907909713883136
"Vaccine passports could be used as part of the roadmap to ease England's lockdown

https://t.co/ucUfyhMzCT",LivEchonews,Mon Feb 22 17:46:00 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907908640010244
"Aviation COVID-19: As vaccine inequality worsens, UK calls for vaccination ceasefire  https://t.co/tguz5hy0ck",OfsMax,Mon Feb 22 17:46:00 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907908447195148
"@kimbyne Almost certainly but at least *this* time there’s a big vaccine roll-out. 

HOWEVER... the huge risk is th… https://t.co/A76aPzEzkg",totalkhaos,Mon Feb 22 17:45:59 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907905704128515
"Exciting NEWS about COVID-19 Vaccinations in Habersham County!
Governor Brian Kemp announced that Habersham County… https://t.co/mmjHwBoBGx",HabershamMed,Mon Feb 22 17:45:58 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907901094584320
"Wow, entitled much? Most people in your age range are the same. And there are WAY more important vaccines to admini… https://t.co/Y6CN4ySVud",deeders25,Mon Feb 22 17:45:58 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907900775653378
Attention citizens! Your Dept. Of Pandemia regrets to inform you things remain terrible and you all need the vaccin… https://t.co/4m2HAYuZ3n,AlexBerenson,Mon Feb 22 17:45:57 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907896883503111
"Lots of talk about Denmark and fair play to them, I have family there. But below is the vaccine rollout league tabl… https://t.co/GwLoBHPzLi",DanielButlerFG,Mon Feb 22 17:45:57 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907895604224007
@VAKruta @rumrac @MeghanMcCain The reality is that no vaccine protects you 100% from contracting the virus.,toots717,Mon Feb 22 17:45:57 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907895163817989
WATCH: The Investing.Hustler Just Leaked This Video About Bill Gates Exposing The Truth Behind Vaccine... https://t.co/FkQNm6OyJT,6ixWars,Mon Feb 22 17:45:56 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907894161342469
@Femi_Sorry So creative second class citizens out of people who have not been able to get the vaccine or whilst not… https://t.co/9ZevKTeEdJ,markwh2001,Mon Feb 22 17:45:55 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907888159354880
The amount of anti-vax folks in the beginning of this pandemic and the scarcity of COVID-19 vaccines🥴 Something isn… https://t.co/pnsJbzfabW,soo_iicey,Mon Feb 22 17:45:54 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907884396986370
tweet,username,date,hashtags,likes,retweets,url
@nypost Oh hell no. Vaccine 💉 on mask off. This guys 15 minutes is UP!,ReviloBuzby,Mon Feb 22 17:45:53 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907882140397568
As long as Dr. Fauci can keep Americans muzzled behind masks the Democrats will use Covid-19 as their excuse to wea… https://t.co/aCeY3vlw7u,DIANENE53103210,Mon Feb 22 17:45:41 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907831661875200
@MeghanMcCain was mad at Fauci for a year when he made the incorrect recommendation to not wear masks but now she w… https://t.co/Ja1aL0Fgkz,CGuy1992,Mon Feb 22 17:45:37 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907814930997249
"I’m fully vaccinated and I still:
🦠 mask
🦠 social distance 
🦠 wash my hands all the time 
🦠 wipe off groceries 
🦠 d… https://t.co/Mpn4IPZzUJ",vballerin,Mon Feb 22 17:45:19 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907738242322433
@Alan_McGuinness Does social contact mean social distancing? Or is that and masks being reviewed seperately?,howardstaveley,Mon Feb 22 17:44:56 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907639399317508
We are muzzled but still not masked in BC. #bcpoli #covid19bc,SagePonchie,Mon Feb 22 17:44:48 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907609678417924
@devisridhar Boris did not mention wearing masks and social distancing. He should really focus wearing masks 😷 while easing lockdown.,Pasang02728507,Mon Feb 22 17:44:43 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907586022649859
"@Livinavanlife @benshapiro I would like Fauci job , we can all play the guessing game the way he does . use mask ,… https://t.co/WlolgMku0L",Robert71227546,Mon Feb 22 17:44:40 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907574253248515
"@latimes 🚨 #COVID19 #CORONAVIRUS

➡️ Help Save Lives:

😷  Wear a Mask
✔️  Social Distance
✔️  Wash Your Hands
✔️  A… https://t.co/Oar2oQjTMX",Rosenchild,Mon Feb 22 17:44:39 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907570264645637
"Even with vaccine rollout, Dr. Fauci says Americans might still need to wear face masks in 2022 https://t.co/mWgqoBDFte",1stKiersten,Mon Feb 22 17:44:28 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907525154848769
@JamesMelville He’s really stupid. In Australia they don’t wear masks and don’t socially distance. They go to work… https://t.co/JXOwAvqZsU,linda04336215,Mon Feb 22 17:44:09 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907445291184128
So masks work for one virus but not another? Total BS,mikeyettl,Mon Feb 22 17:43:54 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907381739028489
"@GrannyResister @blaireerskine @MeghanMcCain #COVID19, 
The very people who went about the country, holding mask le… https://t.co/j5dgbIvUqf",ppl4justice,Mon Feb 22 17:43:51 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907369915346951
"@tomhfh Have you actually looked at the gov paper? Social distancing, masks, WFH, Covid certificates and a test to… https://t.co/vxKzuWQKQ8",martin1219,Mon Feb 22 17:43:48 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907355663024128
"@burkewhy @daraobriain Shop workers and transport staff work in environments in which masks are worn, social distan… https://t.co/8CAPxmMixa",BobBobs64,Mon Feb 22 17:43:42 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907331667410944
"We are almost one whole year into the pandemic. 500,000 deaths. If you’re still not wearing a mask and social dista… https://t.co/BysRZOHfmF",bwaybaby629,Mon Feb 22 17:43:36 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907307701157888
"@TomiLahren @united https://t.co/BueOJO0axl

Conservatives that buy into Tomi's lies about masks are the biggest assholes.",ChazAnancini,Mon Feb 22 17:43:36 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907304257560578
"@NBCNewYork I can follow the rules. I will soon have my second vaccine and I don't mind wearing a mask. 
I would no… https://t.co/Mycf10egYn",Marymiguelkraus,Mon Feb 22 17:43:31 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907284296949761
"@Moh__Sarkee @mamman_nas Yes Sir, I will gist you about his sanitizer and face mask deals at peak of the pandemic.… https://t.co/UC44yAeZYr",mallamsadeeq,Mon Feb 22 17:43:09 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907193238601728
@BentzICT I’m struggling to find his actual grievance with Fauci.   Seems like Fauci indicated mask wearing could c… https://t.co/pzNr1vo0QA,KingReddy22,Mon Feb 22 17:43:05 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907174347403265
tweet,username,date,hashtags,likes,retweets,url
@MeghanMcCain no. we need you to be quiet and educate yourself. the fact that you think that anything covid is an e… https://t.co/xoUMi4zBc9,rigbysmom1,Mon Feb 22 17:41:29 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906771299885056
@andrew_lilico I genuinely don't think anyone who doesn't want to have a Covid vaccine wants anyone to modify their… https://t.co/Fy0DQR6hPF,SophieR66723937,Mon Feb 22 17:40:32 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906534250606593
